City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(Inches),Snow(Inches)
66,Foz,ES,43.57,-7.25,64.99,1,97,8.01,overcast clouds,0.0,0
67,Saldanha,ZA,-33.01,17.94,57.2,93,4,11.41,light rain,0.49,0
68,Nikolskoye,RU,59.7,30.79,57.2,62,1,11.18,clear sky,0.0,0
69,Frankenberg,DE,51.07,8.8,60.01,93,40,2.24,fog,0.0,0
70,Hobart,AU,-42.88,147.33,53.01,87,75,4.7,broken clouds,0.0,0
71,Treinta Y Tres,UY,-33.23,-54.38,61.92,97,90,8.19,light rain,0.77,0
72,Tuktoyaktuk,CA,69.45,-133.04,39.2,93,90,9.17,overcast clouds,0.0,0
73,Los Llanos De Aridane,ES,28.66,-17.92,71.6,68,75,11.41,broken clouds,0.0,0
74,Puerto Ayora,EC,-0.74,-90.35,69.01,96,90,5.01,overcast clouds,0.0,0
75,La Ronge,CA,55.1,-105.28,51.8,66,90,2.24,overcast clouds,0.0,0
76,Portree,GB,57.41,-6.19,53.01,80,100,15.99,light rain,0.38,0
77,Barrow,US,71.29,-156.79,39.2,80,1,11.41,clear sky,0.0,0
78,Kahului,US,20.89,-156.47,84.2,51,40,17.22,scattered clouds,0.0,0
79,Aksarka,RU,66.56,67.8,46.38,82,84,16.96,broken clouds,0.0,0
80,Kodinsk,RU,58.69,99.18,80.89,32,42,7.29,scattered clouds,0.0,0
81,Chokurdakh,RU,70.63,147.92,91.02,20,0,9.51,clear sky,0.0,0
82,Sitka,US,57.05,-135.33,51.8,81,90,6.93,light rain,0.0,0
83,Cabo San Lucas,MX,22.89,-109.91,86.0,35,20,11.41,few clouds,0.0,0
84,East London,ZA,-33.02,27.91,69.8,26,0,11.41,clear sky,0.0,0
85,Ribeira Grande,PT,38.52,-28.7,65.44,91,13,9.13,few clouds,0.0,0
86,Lavrentiya,RU,65.58,-171.0,55.72,45,0,13.29,clear sky,0.0,0
87,Lata,PT,40.16,-8.33,62.01,85,25,2.95,scattered clouds,0.0,0
88,Oxford,GB,51.75,-1.26,57.2,93,100,14.99,heavy intensity rain,4.06,0
89,Pangody,RU,65.85,74.49,50.29,84,73,14.7,light rain,0.2,0
90,Ankang,CN,32.68,109.02,72.07,79,100,0.98,overcast clouds,0.0,0
91,Haines Junction,CA,60.75,-137.51,52.18,56,14,9.13,few clouds,0.0,0
92,Port Elizabeth,ZA,-33.92,25.57,60.8,87,14,18.34,few clouds,0.0,0
93,Dikson,RU,73.51,80.55,36.52,91,100,20.04,light rain,0.89,0
94,Lebu,CL,-37.62,-73.65,48.18,84,0,6.08,clear sky,0.0,0
95,Nome,US,64.5,-165.41,60.8,77,90,8.05,light rain,0.0,0
96,Mastic Beach,US,40.77,-72.85,71.6,83,1,3.36,clear sky,0.0,0
97,Hamilton,US,39.18,-84.53,75.99,83,1,3.98,clear sky,0.0,0
98,Andapa,MG,-14.65,49.65,68.65,91,100,1.63,light rain,0.9,0
99,Saint-Philippe,RE,-21.36,55.77,72.0,73,75,9.17,broken clouds,0.0,0
100,Roald,NO,62.58,6.13,62.01,87,92,4.7,overcast clouds,0.0,0
101,Port Augusta,AU,-32.5,137.77,62.6,48,32,17.22,scattered clouds,0.0,0
102,Nizhnevartovsk,RU,60.93,76.55,50.0,93,90,17.9,light rain,0.0,0
103,Asfi,MA,32.3,-9.24,67.01,86,0,16.91,clear sky,0.0,0
104,Portland,US,45.52,-122.68,66.0,83,79,5.99,light rain,0.2,0
105,San Pedro,PH,14.35,121.02,93.99,56,20,8.05,few clouds,0.0,0
106,Kelowna,CA,49.88,-119.49,66.2,72,75,4.7,broken clouds,0.0,0
107,Grimshaw,CA,56.18,-117.6,60.8,87,75,5.82,light intensity shower rain,0.0,0
108,Redlands,US,34.06,-117.18,71.6,56,5,13.87,haze,0.0,0
